object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,evenodd,fill,fontname,linewidth,matrix,mcid,ncs,non_stroking_color,non_stroking_pattern,pts,size,stroke,stroking_color,stroking_pattern,tag,text,upright
rect,1,671.66,671.9,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(671.66, 114.98000000000002), (671.9, 114.98000000000002), (671.9, 79.46000000000004), (671.66, 79.46000000000004)]",,0,,,,,
rect,1,747.53,747.77,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(747.53, 114.98000000000002), (747.77, 114.98000000000002), (747.77, 79.46000000000004), (747.53, 79.46000000000004)]",,0,,,,,
rect,1,785.47,785.71,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(785.47, 114.98000000000002), (785.71, 114.98000000000002), (785.71, 79.46000000000004), (785.47, 79.46000000000004)]",,0,,,,,
rect,1,861.31,861.55,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(861.31, 114.98000000000002), (861.55, 114.98000000000002), (861.55, 79.46000000000004), (861.31, 79.46000000000004)]",,0,,,,,
rect,1,899.26,899.5,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(899.26, 114.98000000000002), (899.5, 114.98000000000002), (899.5, 79.46000000000004), (899.26, 79.46000000000004)]",,0,,,,,
rect,1,145.7,145.94,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(145.7, 151.01), (145.94, 151.01), (145.94, 115.46600000000001), (145.7, 115.46600000000001)]",,0,,,,,
rect,1,180.02,180.26000000000002,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(180.02, 151.01), (180.26000000000002, 151.01), (180.26000000000002, 115.46600000000001), (180.02, 115.46600000000001)]",,0,,,,,
rect,1,211.01,211.25,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(211.01, 151.01), (211.25, 151.01), (211.25, 115.46600000000001), (211.01, 115.46600000000001)]",,0,,,,,
rect,1,235.25,235.49,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(235.25, 151.01), (235.49, 151.01), (235.49, 115.46600000000001), (235.25, 115.46600000000001)]",,0,,,,,
rect,1,265.01,265.25,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(265.01, 151.01), (265.25, 151.01), (265.25, 115.46600000000001), (265.01, 115.46600000000001)]",,0,,,,,
rect,1,330.31,330.55,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(330.31, 151.01), (330.55, 151.01), (330.55, 115.46600000000001), (330.31, 115.46600000000001)]",,0,,,,,
rect,1,368.23,368.47,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(368.23, 151.01), (368.47, 151.01), (368.47, 115.46600000000001), (368.23, 115.46600000000001)]",,0,,,,,
rect,1,444.1,444.34000000000003,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(444.1, 151.01), (444.34000000000003, 151.01), (444.34000000000003, 115.46600000000001), (444.1, 115.46600000000001)]",,0,,,,,
rect,1,482.04,482.28000000000003,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(482.04, 151.01), (482.28000000000003, 151.01), (482.28000000000003, 115.46600000000001), (482.04, 115.46600000000001)]",,0,,,,,
rect,1,557.88,558.12,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(557.88, 151.01), (558.12, 151.01), (558.12, 115.46600000000001), (557.88, 115.46600000000001)]",,0,,,,,
rect,1,595.82,596.0600000000001,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(595.82, 151.01), (596.0600000000001, 151.01), (596.0600000000001, 115.46600000000001), (595.82, 115.46600000000001)]",,0,,,,,
rect,1,671.66,671.9,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(671.66, 151.01), (671.9, 151.01), (671.9, 115.46600000000001), (671.66, 115.46600000000001)]",,0,,,,,
rect,1,747.53,747.77,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(747.53, 151.01), (747.77, 151.01), (747.77, 115.46600000000001), (747.53, 115.46600000000001)]",,0,,,,,
rect,1,785.47,785.71,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(785.47, 151.01), (785.71, 151.01), (785.71, 115.46600000000001), (785.47, 115.46600000000001)]",,0,,,,,
rect,1,861.31,861.55,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(861.31, 151.01), (861.55, 151.01), (861.55, 115.46600000000001), (861.31, 115.46600000000001)]",,0,,,,,
rect,1,899.26,899.5,460.99,496.534,115.46600000000001,115.46600000000001,151.01,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(899.26, 151.01), (899.5, 151.01), (899.5, 115.46600000000001), (899.26, 115.46600000000001)]",,0,,,,,
rect,1,145.7,145.94,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(145.7, 187.02999999999997), (145.94, 187.02999999999997), (145.94, 151.486), (145.7, 151.486)]",,0,,,,,
rect,1,180.02,180.26000000000002,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(180.02, 187.02999999999997), (180.26000000000002, 187.02999999999997), (180.26000000000002, 151.486), (180.02, 151.486)]",,0,,,,,
rect,1,211.01,211.25,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(211.01, 187.02999999999997), (211.25, 187.02999999999997), (211.25, 151.486), (211.01, 151.486)]",,0,,,,,
rect,1,235.25,235.49,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(235.25, 187.02999999999997), (235.49, 187.02999999999997), (235.49, 151.486), (235.25, 151.486)]",,0,,,,,
rect,1,265.01,265.25,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(265.01, 187.02999999999997), (265.25, 187.02999999999997), (265.25, 151.486), (265.01, 151.486)]",,0,,,,,
rect,1,330.31,330.55,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(330.31, 187.02999999999997), (330.55, 187.02999999999997), (330.55, 151.486), (330.31, 151.486)]",,0,,,,,
rect,1,368.23,368.47,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(368.23, 187.02999999999997), (368.47, 187.02999999999997), (368.47, 151.486), (368.23, 151.486)]",,0,,,,,
rect,1,444.1,444.34000000000003,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(444.1, 187.02999999999997), (444.34000000000003, 187.02999999999997), (444.34000000000003, 151.486), (444.1, 151.486)]",,0,,,,,
rect,1,482.04,482.28000000000003,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(482.04, 187.02999999999997), (482.28000000000003, 187.02999999999997), (482.28000000000003, 151.486), (482.04, 151.486)]",,0,,,,,
rect,1,557.88,558.12,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(557.88, 187.02999999999997), (558.12, 187.02999999999997), (558.12, 151.486), (557.88, 151.486)]",,0,,,,,
rect,1,595.82,596.0600000000001,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(595.82, 187.02999999999997), (596.0600000000001, 187.02999999999997), (596.0600000000001, 151.486), (595.82, 151.486)]",,0,,,,,
rect,1,671.66,671.9,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(671.66, 187.02999999999997), (671.9, 187.02999999999997), (671.9, 151.486), (671.66, 151.486)]",,0,,,,,
rect,1,747.53,747.77,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(747.53, 187.02999999999997), (747.77, 187.02999999999997), (747.77, 151.486), (747.53, 151.486)]",,0,,,,,
rect,1,785.47,785.71,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(785.47, 187.02999999999997), (785.71, 187.02999999999997), (785.71, 151.486), (785.47, 151.486)]",,0,,,,,
rect,1,861.31,861.55,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(861.31, 187.02999999999997), (861.55, 187.02999999999997), (861.55, 151.486), (861.31, 151.486)]",,0,,,,,
rect,1,899.26,899.5,424.97,460.514,151.486,151.486,187.02999999999997,0.2400000000000091,35.54399999999998,,1,1,,0.24,,,,,,"[(899.26, 187.02999999999997), (899.5, 187.02999999999997), (899.5, 151.486), (899.26, 151.486)]",,0,,,,,
rect,1,145.7,145.94,388.97,424.49,187.51,187.51,223.02999999999997,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(145.7, 223.02999999999997), (145.94, 223.02999999999997), (145.94, 187.51), (145.7, 187.51)]",,0,,,,,
rect,1,180.02,180.26000000000002,388.97,424.49,187.51,187.51,223.02999999999997,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(180.02, 223.02999999999997), (180.26000000000002, 223.02999999999997), (180.26000000000002, 187.51), (180.02, 187.51)]",,0,,,,,
rect,1,211.01,211.25,388.97,424.49,187.51,187.51,223.02999999999997,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(211.01, 223.02999999999997), (211.25, 223.02999999999997), (211.25, 187.51), (211.01, 187.51)]",,0,,,,,
rect,1,235.25,235.49,388.97,424.49,187.51,187.51,223.02999999999997,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(235.25, 223.02999999999997), (235.49, 223.02999999999997), (235.49, 187.51), (235.25, 187.51)]",,0,,,,,
rect,1,265.01,265.25,388.97,424.49,187.51,187.51,223.02999999999997,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(265.01, 223.02999999999997), (265.25, 223.02999999999997), (265.25, 187.51), (265.01, 187.51)]",,0,,,,,
rect,1,330.31,330.55,388.97,424.49,187.51,187.51,223.02999999999997,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(330.31, 223.02999999999997), (330.55, 223.02999999999997), (330.55, 187.51), (330.31, 187.51)]",,0,,,,,
rect,1,368.23,368.47,388.97,424.49,187.51,187.51,223.02999999999997,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(368.23, 223.02999999999997), (368.47, 223.02999999999997), (368.47, 187.51), (368.23, 187.51)]",,0,,,,,
